Timestamp,Layout_ID,Total_Score,Avg_Score,Min_Score,Score_Variance,Path_Quality,API_Calls,Position_1,Score_1,Position_2,Score_2,Position_3,Score_3,Position_4,Score_4,Position_5,Score_5,Position_6,Score_6,Position_7,Score_7,Position_8,Score_8,Position_9,Score_9,Position_10,Score_10
2025-04-18 18:24:23,1,10000.0,1000.0,1000.0,0.0,Excellent,91,"(-30,4)",1000.0,"(-30,3)",1000.0,"(-31,3)",1000.0,"(-31,4)",1000.0,"(-32,4)",1000.0,"(-32,3)",1000.0,"(-32,2)",1000.0,"(-31,2)",1000.0,"(-30,2)",1000.0,"(-29,2)",1000.0
2025-04-18 18:25:06,2,980.0,98.0,98.0,0.0,Excellent,126,"(-9,99)",98.0,"(-9,100)",98.0,"(-8,100)",98.0,"(-8,99)",98.0,"(-8,98)",98.0,"(-8,97)",98.0,"(-8,96)",98.0,"(-7,96)",98.0,"(-7,97)",98.0,"(-7,98)",98.0
2025-04-18 18:26:07,3,8772.0,877.2,874.0,15.36,Excellent,150,"(-100,100)",882.0,"(-100,99)",882.0,"(-99,99)",874.0,"(-99,100)",882.0,"(-98,100)",882.0,"(-98,99)",874.0,"(-98,98)",874.0,"(-99,98)",874.0,"(-100,98)",874.0,"(-100,97)",874.0
2025-04-18 18:26:42,4,5869.0,586.9,513.0,1251.29,Excellent,150,"(73,76)",615.0,"(74,76)",560.0,"(74,77)",576.0,"(75,77)",631.0,"(76,77)",607.0,"(76,78)",576.0,"(77,78)",513.0,"(77,79)",576.0,"(78,79)",639.0,"(78,80)",576.0
2025-04-18 18:27:26,5,5211.0,521.1,443.0,3276.49,Excellent,150,"(-61,72)",615.0,"(-62,72)",600.0,"(-63,72)",576.0,"(-63,71)",466.0,"(-62,71)",537.0,"(-61,71)",474.0,"(-61,70)",513.0,"(-60,70)",466.0,"(-59,70)",443.0,"(-59,71)",521.0
2025-04-18 18:28:14,6,-1615.0,-161.5,-1000.0,661587.25,Poor,199,"(-41,-99)",1000.0,"(-41,-100)",623.0,"(-42,-100)",-309.0,"(-42,-99)",-1000.0,"(-42,-98)",-1000.0,"(-41,-98)",-1000.0,"(-40,-98)",992.0,"(-40,-97)",490.0,"(-39,-97)",-411.0,"(-39,-98)",-1000.0
2025-04-18 18:29:30,7,7426.0,742.6,741.0,10.24,Excellent,146,"(100,100)",749.0,"(100,99)",741.0,"(99,99)",741.0,"(99,100)",749.0,"(98,100)",741.0,"(98,99)",741.0,"(97,99)",741.0,"(97,100)",741.0,"(96,100)",741.0,"(95,100)",741.0
2025-04-18 18:30:30,8,-10000.0,-1000.0,-1000.0,0.0,Poor,199,"(-51,96)",-1000.0,"(-51,97)",-1000.0,"(-51,98)",-1000.0,"(-51,99)",-1000.0,"(-51,100)",-1000.0,"(-50,100)",-1000.0,"(-50,99)",-1000.0,"(-50,98)",-1000.0,"(-50,97)",-1000.0,"(-50,96)",-1000.0
2025-04-18 18:31:08,9,-2909.0,-290.9,-1000.0,579771.0900000001,Poor,199,"(94,98)",1000.0,"(93,98)",-1000.0,"(93,99)",-670.0,"(94,99)",-866.0,"(95,99)",-1000.0,"(95,98)",403.0,"(95,97)",992.0,"(96,97)",-341.0,"(96,96)",-427.0,"(95,96)",-1000.0
2025-04-18 18:31:25,10,8744.0,874.4,568.0,27875.840000000004,Varied,91,"(97,47)",1000.0,"(97,48)",1000.0,"(97,49)",788.0,"(96,49)",788.0,"(96,48)",1000.0,"(96,47)",1000.0,"(96,46)",568.0,"(96,45)",1000.0,"(97,45)",1000.0,"(98,45)",600.0
2025-04-18 18:32:22,11,-10000.0,-1000.0,-1000.0,0.0,Poor,199,"(-3,61)",-1000.0,"(-3,60)",-1000.0,"(-4,60)",-1000.0,"(-4,61)",-1000.0,"(-4,62)",-1000.0,"(-3,62)",-1000.0,"(-2,62)",-1000.0,"(-2,61)",-1000.0,"(-2,60)",-1000.0,"(-2,59)",-1000.0
2025-04-18 18:46:17,1,10000.0,1000.0,1000.0,0.0,Excellent,91,"(29,-26)",1000.0,"(29,-27)",1000.0,"(28,-27)",1000.0,"(28,-26)",1000.0,"(28,-25)",1000.0,"(29,-25)",1000.0,"(30,-25)",1000.0,"(30,-26)",1000.0,"(30,-27)",1000.0,"(30,-28)",1000.0
2025-04-18 18:46:43,2,980.0,98.0,98.0,0.0,Excellent,159,"(-14,99)",98.0,"(-14,98)",98.0,"(-14,97)",98.0,"(-14,96)",98.0,"(-13,96)",98.0,"(-13,97)",98.0,"(-13,98)",98.0,"(-13,99)",98.0,"(-13,100)",98.0,"(-12,100)",98.0
2025-04-18 18:47:57,3,8772.0,877.2,874.0,15.36,Excellent,150,"(-100,100)",882.0,"(-99,100)",882.0,"(-98,100)",882.0,"(-98,99)",874.0,"(-98,98)",874.0,"(-99,98)",874.0,"(-99,99)",874.0,"(-100,99)",882.0,"(-100,98)",874.0,"(-100,97)",874.0
2025-04-18 18:48:37,4,5956.0,595.6,537.0,886.8400000000001,Excellent,150,"(89,87)",600.0,"(89,88)",623.0,"(90,88)",623.0,"(91,88)",576.0,"(91,87)",623.0,"(92,87)",537.0,"(92,86)",615.0,"(91,86)",560.0,"(91,85)",623.0,"(91,84)",576.0
2025-04-18 18:49:18,5,5125.0,512.5,349.0,4733.45,Excellent,150,"(-99,86)",615.0,"(-99,87)",349.0,"(-99,88)",505.0,"(-98,88)",498.0,"(-97,88)",529.0,"(-97,89)",537.0,"(-98,89)",560.0,"(-99,89)",466.0,"(-99,90)",576.0,"(-100,90)",490.0
2025-04-18 18:50:11,6,7041.0,704.1,-1000.0,355001.68999999994,Poor,199,"(-19,-100)",1000.0,"(-19,-99)",968.0,"(-18,-99)",945.0,"(-18,-98)",1000.0,"(-17,-98)",396.0,"(-17,-97)",1000.0,"(-16,-97)",764.0,"(-16,-96)",968.0,"(-15,-96)",1000.0,"(-15,-97)",-1000.0
2025-04-18 18:52:05,7,7418.0,741.8,733.0,18.560000000000002,Excellent,150,"(100,100)",749.0,"(99,100)",749.0,"(98,100)",741.0,"(97,100)",741.0,"(97,99)",741.0,"(98,99)",741.0,"(99,99)",741.0,"(100,99)",741.0,"(100,98)",741.0,"(100,97)",733.0
2025-04-18 18:53:01,8,-6620.0,-662.0,-1000.0,342339.2,Poor,199,"(5,-29)",490.0,"(5,-28)",-1000.0,"(6,-28)",-584.0,"(6,-29)",-1000.0,"(6,-30)",-1000.0,"(5,-30)",-1000.0,"(4,-30)",-1000.0,"(3,-30)",-1000.0,"(2,-30)",474.0,"(2,-31)",-1000.0
2025-04-18 18:53:34,9,563.0,56.3,-1000.0,646095.6099999999,Poor,199,"(39,97)",1000.0,"(39,98)",427.0,"(40,98)",717.0,"(40,99)",835.0,"(40,100)",-1000.0,"(41,100)",960.0,"(41,99)",-419.0,"(41,98)",-1000.0,"(41,97)",-1000.0,"(40,97)",43.0
2025-04-18 18:54:10,10,6995.0,699.5,-1000.0,361987.05,Poor,188,"(-27,-7)",1000.0,"(-26,-7)",1000.0,"(-26,-8)",403.0,"(-26,-9)",1000.0,"(-25,-9)",1000.0,"(-25,-10)",-1000.0,"(-25,-11)",1000.0,"(-26,-11)",1000.0,"(-27,-11)",1000.0,"(-28,-11)",592.0
2025-04-18 18:55:07,11,-10000.0,-1000.0,-1000.0,0.0,Poor,199,"(5,7)",-1000.0,"(5,6)",-1000.0,"(4,6)",-1000.0,"(4,7)",-1000.0,"(4,8)",-1000.0,"(5,8)",-1000.0,"(6,8)",-1000.0,"(6,7)",-1000.0,"(6,6)",-1000.0,"(6,5)",-1000.0
2025-04-18 18:56:22,11,-10000.0,-1000.0,-1000.0,0.0,Poor,199,"(-85,85)",-1000.0,"(-85,84)",-1000.0,"(-86,84)",-1000.0,"(-86,85)",-1000.0,"(-86,86)",-1000.0,"(-85,86)",-1000.0,"(-84,86)",-1000.0,"(-84,85)",-1000.0,"(-84,84)",-1000.0,"(-84,83)",-1000.0
2025-04-18 18:58:17,11,-10000.0,-1000.0,-1000.0,0.0,Poor,199,"(-97,-93)",-1000.0,"(-97,-94)",-1000.0,"(-98,-94)",-1000.0,"(-98,-93)",-1000.0,"(-98,-92)",-1000.0,"(-97,-92)",-1000.0,"(-96,-92)",-1000.0,"(-96,-93)",-1000.0,"(-96,-94)",-1000.0,"(-96,-95)",-1000.0
2025-04-18 19:12:08,11,8000.0,800.0,-1000.0,360000.0,Poor,199,"(-27,-32)",-1000.0,"(-27,-31)",1000.0,"(-28,-31)",1000.0,"(-28,-30)",1000.0,"(-29,-30)",1000.0,"(-29,-29)",1000.0,"(-28,-29)",1000.0,"(-27,-29)",1000.0,"(-27,-30)",1000.0,"(-26,-30)",1000.0
